0 -0.001 0   -4.999971165898532e-08   8.500197336019634e-06  
0 -0.00098 0   -4.603971258719111e-08   8.500196874804225e-06  
0 -0.00096 0   -4.215971538886399e-08   8.50019552823997e-06  
0 -0.00094 0   -3.835972007875646e-08   8.500193351102768e-06  
0 -0.00092 0   -3.463972665784933e-08   8.500190397039086e-06  
0 -0.0009 0   -3.099973511419806e-08   8.500186718565966e-06  
0 -0.00088 0   -2.743974542375423e-08   8.500182367071016e-06  
0 -0.00086 0   -2.395975755117383e-08   8.500177392812423e-06  
0 -0.00084 0   -2.055977145060532e-08   8.500171844918939e-06  
0 -0.00082 0   -1.723978706645359e-08   8.500165771389894e-06  
0 -0.0008 0   -1.399980433414862e-08   8.500159219095187e-06  
0 -0.00078 0   -1.08398231808628e-08   8.5001522337753e-06  
0 -0.00076 0   -7.759843526238388e-09   8.500144860041278e-06  
0 -0.00074 0   -4.759865283088503e-09   8.500137141374755e-06  
0 -0.0007199999999999999 0   -1.839888358070985e-09   8.50012912012793e-06  
0 -0.0007000000000000001 0   1.000087347637037e-09   8.500120837523589e-06  
0 -0.00068 0   3.76006193770418e-09   8.500112333655097e-06  
0 -0.00066 0   6.440035520000515e-09   8.500103647486401e-06  
0 -0.0006400000000000001 0   9.040008206006138e-09   8.50009481685203e-06  
0 -0.00062 0   1.155998011019952e-08   8.500085878457101e-06  
0 -0.0006000000000000001 0   1.399995134948783e-08   8.500076867877315e-06  
0 -0.00058 0   1.63599220426567e-08   8.500067819558959e-06  
0 -0.00056 0   1.863989230981919e-08   8.500058766818922e-06  
0 -0.00054 0   2.083986227189662e-08   8.500049741844668e-06  
0 -0.0005200000000000001 0   2.295983205011654e-08   8.500040775694272e-06  
0 -0.0005 0   2.49998017655254e-08   8.500031898296394e-06  
0 -0.00048 0   2.69597715385106e-08   8.500023138450294e-06  
0 -0.00046 0   2.883974148835907e-08   8.500014523825835e-06  
0 -0.00044 0   3.06397117328212e-08   8.500006080963481e-06  
0 -0.00042 0   3.23596823876897e-08   8.499997835274295e-06  
0 -0.0004000000000000001 0   3.399965356640782e-08   8.499989811039949e-06  
0 -0.00038 0   3.555962537967849e-08   8.499982031412719e-06  
0 -0.00036 0   3.703959793511451e-08   8.499974518415494e-06  
0 -0.00034 0   3.843957133687646e-08   8.499967292941767e-06  
0 -0.00032 0   3.975954568536724e-08   8.499960374755649e-06  
0 -0.0003 0   4.099952107689939e-08   8.499953782491864e-06  
0 -0.0002800000000000001 0   4.21594976034154e-08   8.499947533655743e-06  
0 -0.00026 0   4.323947535221093e-08   8.499941644623242e-06  
0 -0.00024 0   4.423945440567449e-08   8.499936130640932e-06  
0 -0.0002199999999999999 0   4.515943484105668e-08   8.499931005826004e-06  
0 -0.0002 0   4.599941673024003e-08   8.499926283166266e-06  
