0	3097.9702099185
0.01	3104.1497159822
0.02	3110.344601228
0.03	3116.5549114632
0.04	3122.7806926539
0.05	3129.0219909251
0.06	3135.278852562
0.07	3141.55132401
0.08	3147.8394518757
0.09	3154.1432829277
0.1	3160.4628640965
0.11	3166.7982424762
0.12	3173.149465324
0.13	3179.516580062
0.14	3185.8996342768
0.15	3192.2986757209
0.16	3198.7137523129
0.17	3205.1449121386
0.18	3211.5922034512
0.19	3218.0556746721
0.2	3224.5353743919
0.21	3231.0313513706
0.22	3237.5436545385
0.23	3244.0723329968
0.24	3250.6174360186
0.25	3257.179013049
0.26	3263.7571137063
0.27	3270.3517877824
0.28	3276.9630852436
0.29	3283.5910562313
0.3	3290.2357510626
0.31	3296.8972202312
0.32	3303.5755144079
0.33	3310.2706844413
0.34	3316.9827813587
0.35	3323.7118563667
0.36	3330.457960852
0.37	3337.2211463818
0.38	3344.0014647051
0.39	3350.7989677527
0.4	3357.6137076387
0.41	3364.4457366606
0.42	3371.2951073005
0.43	3378.1618722254
0.44	3385.0460842883
0.45	3391.9477965288
0.46	3398.8670621738
0.47	3405.8039346385
0.48	3412.7584675269
0.49	3419.7307146324
0.5	3426.7207299391
0.51	3433.7285676222
0.52	3440.7542820487
0.53	3447.7979277784
0.54	3454.8595595647
0.55	3461.939232355
0.56	3469.0370012919
0.57	3476.1529217138
0.58	3483.2870491559
0.59	3490.4394393504
0.6	3497.6101482282
0.61	3504.7992319188
0.62	3512.0067467519
0.63	3519.2327492575
0.64	3526.4772961673
0.65	3533.740444415
0.66	3541.0222511376
0.67	3548.3227736759
0.68	3555.6420695755
0.69	3562.9801965874
0.7	3570.3372126692
0.71	3577.7131759857
0.72	3585.1081449095
0.73	3592.5221780225
0.74	3599.9553341161
0.75	3607.4076721925
0.76	3614.8792514652
0.77	3622.3701313603
0.78	3629.8803715168
0.79	3637.4100317881
0.8	3644.9591722422
0.81	3652.5278531633
0.82	3660.1161350519
0.83	3667.7240786265
0.84	3675.3517448239
0.85	3682.9991948002
0.86	3690.6664899318
0.87	3698.3536918164
0.88	3706.0608622738
0.89	3713.7880633466
0.9	3721.5353573013
0.91	3729.3028066296
0.92	3737.0904740485
0.93	3744.8984225018
0.94	3752.7267151612
0.95	3760.5754154264
0.96	3768.4445869271
0.97	3776.3342935231
0.98	3784.2445993056
0.99	3792.1755685984
1.0	3800.1272659581
1.01	3808.099756176
1.02	3816.0931042784
1.03	3824.1073755277
1.04	3832.1426354237
1.05	3840.1989497039
1.06	3848.2763843455
1.07	3856.3750055653
1.08	3864.4948798214
1.09	3872.636073814
1.1	3880.7986544863
1.11	3888.9826890258
1.12	3897.1882448648
1.13	3905.4153896821
1.14	3913.6641914033
1.15	3921.9347182024
1.16	3930.2270385024
1.17	3938.5412209768
1.18	3946.8773345502
1.19	3955.2354483995
1.2	3963.615631955
1.21	3972.0179549016
1.22	3980.4424871794
1.23	3988.8892989851
1.24	3997.3584607733
1.25	4005.8500432569
1.26	4014.3641174089
1.27	4022.9007544628
1.28	4031.4600259144
1.29	4040.0420035224
1.3	4048.6467593094
1.31	4057.2743655636
1.32	4065.9248948393
1.33	4074.5984199585
1.34	4083.2950140114
1.35	4092.0147503584
1.36	4100.7577026302
1.37	4109.5239447299
1.38	4118.3135508334
1.39	4127.1265953912
1.4	4135.9631531289
1.41	4144.8232990489
1.42	4153.707108431
1.43	4162.6146568342
1.44	4171.5460200975
1.45	4180.5012743411
1.46	4189.4804959677
1.47	4198.4837616635
1.48	4207.5111483995
1.49	4216.562733433
1.5	4225.6385943083
1.51	4234.738808858
1.52	4243.8634552046
1.53	4253.0126117615
1.54	4262.186357234
1.55	4271.3847706208
1.56	4280.6079312154
1.57	4289.8559186068
1.58	4299.1288126813
1.59	4308.4266936234
1.6	4317.7496419175
1.61	4327.0977383485
1.62	4336.4710640037
1.63	4345.8697002737
1.64	4355.293728854
1.65	4364.7432317459
1.66	4374.2182912582
1.67	4383.7189900082
1.68	4393.2454109233
1.69	4402.797637242
1.7	4412.3757525154
1.71	4421.9798406087
1.72	4431.6099857022
1.73	4441.2662722928
1.74	4450.9487851954
1.75	4460.6576095442
1.76	4470.3928307941
1.77	4480.1545347221
1.78	4489.9428074285
1.79	4499.7577353384
1.8	4509.5994052033
1.81	4519.4679041021
1.82	4529.3633194427
1.83	4539.2857389636
1.84	4549.2352507349
1.85	4559.2119431601
1.86	4569.2159049774
1.87	4579.2472252609
1.88	4589.3059934226
1.89	4599.3922992132
1.9	4609.506232724
1.91	4619.6478843884
1.92	4629.817344983
1.93	4640.0147056293
1.94	4650.2400577953
1.95	4660.4934932967
1.96	4670.7751042988
1.97	4681.0849833176
1.98	4691.4232232215
1.99	4701.789917233
2.0	4712.1851589299
2.01	4722.6090422469
2.02	4733.0616614774
2.03	4743.5431112748
2.04	4754.0534866541
2.05	4764.5928829937
2.06	4775.1613960367
2.07	4785.7591218923
2.08	4796.386157038
2.09	4807.0425983208
2.1	4817.7285429586
2.11	4828.4440885425
2.12	4839.1893330375
2.13	4849.9643747851
2.14	4860.7693125042
2.15	4871.6042452929
2.16	4882.4692726305
2.17	4893.3644943788
2.18	4904.290010784
2.19	4915.245922478
2.2	4926.2323304805
2.21	4937.2493362007
2.22	4948.2970414387
2.23	4959.3755483872
2.24	4970.4849596336
2.25	4981.6253781614
2.26	4992.796907352
2.27	5003.9996509866
2.28	5015.2337132477
2.29	5026.499198721
2.3	5037.7962123972
2.31	5049.1248596738
2.32	5060.4852463566
2.33	5071.8774786619
2.34	5083.3016632181
