0 -0.001 0   318310.8040088048   936.1932610431104  
0 -0.00098 0   318310.7996909119   862.0466522151546  
0 -0.00096 0   318310.787084392   789.397963534022  
0 -0.00094 0   318310.7667020537   718.2471950689505  
0 -0.00092 0   318310.7390461321   648.5943468244222  
0 -0.0009 0   318310.7046082889   580.439418744616  
0 -0.00088 0   318310.6638696122   513.7824107168999  
0 -0.00086 0   318310.6173006169   448.6233225758187  
0 -0.00084 0   318310.5653612443   384.9621541067609  
0 -0.00082 0   318310.5085008622   322.7989050496253  
0 -0.0008 0   318310.4471582652   262.1335751019069  
0 -0.00078 0   318310.3817616743   202.9661639228289  
0 -0.00076 0   318310.3127287371   145.2966711363115  
0 -0.00074 0   318310.2404665279   89.12509633405716  
0 -0.0007199999999999999 0   318310.1653715472   34.45143907927559  
0 -0.0007000000000000001 0   318310.0878297226   -18.72430109066772  
0 -0.00068 0   318310.0082164078   -70.40212466107914  
0 -0.00066 0   318309.9268963833   -120.5820321368519  
0 -0.0006400000000000001 0   318309.8442238565   -169.2640240398177  
0 -0.00062 0   318309.7605424608   -216.4481009058945  
0 -0.0006000000000000001 0   318309.6761852565   -262.1342632823507  
0 -0.00058 0   318309.5914747306   -306.3225117251568  
0 -0.00056 0   318309.5067227965   -349.0128467965696  
0 -0.00054 0   318309.4222307944   -390.2052690626006  
0 -0.0005200000000000001 0   318309.3382894908   -429.8997790908325  
0 -0.0005 0   318309.2551790794   -468.0963774477714  
0 -0.00048 0   318309.1731691798   -504.7950646969548  
0 -0.00046 0   318309.0925188387   -539.995841396827  
0 -0.00044 0   318309.0134765294   -573.6987080985855  
0 -0.00042 0   318308.9362801517   -605.9036653442017  
0 -0.0004000000000000001 0   318308.8611570321   -636.6107136647042  
0 -0.00038 0   318308.7883239236   -665.8198535783449  
0 -0.00036 0   318308.7179870062   -693.5310855887947  
0 -0.00034 0   318308.6503418862   -719.7444101837464  
0 -0.00032 0   318308.5855735968   -744.4598278330232  
0 -0.0003 0   318308.5238565976   -767.6773389876762  
0 -0.0002800000000000001 0   318308.4653547751   -789.396944077831  
0 -0.00026 0   318308.4102214424   -809.6186435123091  
0 -0.00024 0   318308.3585993392   -828.3424376767362  
0 -0.0002199999999999999 0   318308.3106206319   -845.5683269326983  
0 -0.0002 0   318308.2664069138   -861.2963116166939  
0 -0.00018 0   318308.2260692045   -875.5263920390862  
0 -0.00016 0   318308.1897079503   -888.2585684834339  
0 -0.00014 0   318308.1574130246   -899.4928412054433  
0 -0.00012 0   318308.1292637271   -909.2292104324151  
0 -9.999999999999994e-05 0   318308.1053287844   -917.4676763626921  
0 -7.999999999999999e-05 0   318308.0856663497   -924.2082391649892  
0 -6.000000000000005e-05 0   318308.0703240029   -929.4508989777241  
0 -4e-05 0   318308.0593387503   -933.1956559093669  
0 -2.000000000000005e-05 0   318308.0527370255   -935.4425100372464  
0 0 0   318308.0505346884   -936.1914614080451  
0 2.000000000000005e-05 0   318308.0527370255   -935.4425100372464  
0 4.00000000000001e-05 0   318308.0593387503   -933.1956559093669  
0 6.000000000000016e-05 0   318308.0703240029   -929.4508989777241  
0 7.999999999999999e-05 0   318308.0856663497   -924.2082391649892  
0 0.0001 0   318308.1053287844   -917.4676763626921  
0 0.0001200000000000001 0   318308.1292637271   -909.2292104324151  
0 0.0001399999999999999 0   318308.1574130246   -899.4928412054433  
0 0.00016 0   318308.1897079503   -888.2585684834339  
0 0.00018 0   318308.2260692045   -875.5263920390862  
0 0.0001999999999999999 0   318308.2664069138   -861.2963116166939  
0 0.0002199999999999999 0   318308.3106206319   -845.5683269326983  
0 0.00024 0   318308.3585993392   -828.3424376767362  
0 0.00026 0   318308.4102214424   -809.6186435123091  
0 0.0002800000000000001 0   318308.4653547751   -789.396944077831  
0 0.0003000000000000001 0   318308.5238565976   -767.6773389876762  
0 0.00032 0   318308.5855735968   -744.4598278330232  
0 0.00034 0   318308.6503418862   -719.7444101837464  
0 0.0003600000000000001 0   318308.7179870062   -693.5310855887947  
0 0.0003799999999999999 0   318308.7883239236   -665.8198535783449  
0 0.0004 0   318308.8611570321   -636.6107136647042  
0 0.00042 0   318308.9362801517   -605.9036653442017  
0 0.0004399999999999999 0   318309.0134765294   -573.6987080985855  
0 0.0004599999999999999 0   318309.0925188388   -539.9958413968561  
0 0.00048 0   318309.1731691798   -504.7950646969548  
0 0.0005 0   318309.2551790794   -468.0963774477714  
0 0.0005200000000000001 0   318309.3382894908   -429.8997790908325  
0 0.0005400000000000001 0   318309.4222307944   -390.2052690626006  
0 0.0005600000000000002 0   318309.5067227965   -349.0128467965696  
0 0.00058 0   318309.5914747306   -306.3225117251568  
0 0.0006000000000000001 0   318309.6761852565   -262.1342632823507  
0 0.0006200000000000001 0   318309.7605424608   -216.4481009058945  
0 0.0006399999999999999 0   318309.8442238565   -169.2640240398177  
0 0.00066 0   318309.9268963833   -120.5820321368519  
0 0.00068 0   318310.0082164078   -70.40212466107914  
0 0.0006999999999999999 0   318310.0878297226   -18.72430109066772  
0 0.0007199999999999999 0   318310.1653715472   34.45143907927559  
0 0.00074 0   318310.2404665279   89.12509633405716  
0 0.00076 0   318310.3127287371   145.2966711363115  
0 0.0007800000000000001 0   318310.3817616743   202.9661639228289  
0 0.0008000000000000001 0   318310.4471582652   262.1335751019069  
0 0.00082 0   318310.5085008622   322.7989050496253  
0 0.00084 0   318310.5653612443   384.9621541067609  
0 0.0008600000000000001 0   318310.6173006169   448.6233225758187  
0 0.0008799999999999999 0   318310.6638696122   513.7824107168999  
0 0.0009 0   318310.7046082889   580.439418744616  
0 0.00092 0   318310.7390461321   648.5943468244222  
0 0.0009399999999999999 0   318310.7667020537   718.2471950689214  
0 0.0009599999999999999 0   318310.787084392   789.397963534022  
0 0.00098 0   318310.7996909119   862.0466522151546  
0 0.001 0   318310.8040088048   936.1932610431104  
