0 -0.001 0   -4.999992791420542e-08   1.700024761662979e-05  
0 -0.00098 0   -4.603992814626235e-08   1.700024738602106e-05  
0 -0.00096 0   -4.2159928846683e-08   1.700024671273585e-05  
0 -0.00094 0   -3.835993001916518e-08   1.700024562416205e-05  
0 -0.00092 0   -3.46399316639483e-08   1.700024414712292e-05  
0 -0.0009 0   -3.099993377805106e-08   1.700024230787696e-05  
0 -0.00088 0   -2.743993635545805e-08   1.700024013211797e-05  
0 -0.00086 0   -2.395993938733269e-08   1.700023764497508e-05  
0 -0.00084 0   -2.055994286221308e-08   1.70002348710127e-05  
0 -0.00082 0   -1.72399467662078e-08   1.700023183423053e-05  
0 -0.0008 0   -1.399995108316076e-08   1.700022855806357e-05  
0 -0.00078 0   -1.083995579487185e-08   1.700022506538213e-05  
0 -0.00076 0   -7.759960881255532e-09   1.70002213784918e-05  
0 -0.00074 0   -4.759966320505556e-09   1.700021751913348e-05  
0 -0.0007199999999999999 0   -1.839972089293961e-09   1.700021350848335e-05  
0 -0.0007000000000000001 0   1.000021837087495e-09   1.700020936715292e-05  
0 -0.00068 0   3.76001548455791e-09   1.700020511518896e-05  
0 -0.00066 0   6.440008880082471e-09   1.700020077207357e-05  
0 -0.0006400000000000001 0   9.040002051531005e-09   1.700019635672414e-05  
0 -0.00062 0   1.155999502752566e-08   1.700019188749335e-05  
0 -0.0006000000000000001 0   1.399998783729478e-08   1.700018738216917e-05  
0 -0.00058 0   1.635998051053147e-08   1.70001828579749e-05  
0 -0.00056 0   1.863997307726457e-08   1.700017833156911e-05  
0 -0.00054 0   2.083996556772345e-08   1.700017381904569e-05  
0 -0.0005200000000000001 0   2.295995801222141e-08   1.700016933593382e-05  
0 -0.0005 0   2.499995044101423e-08   1.700016489719797e-05  
0 -0.00048 0   2.695994288419915e-08   1.700016051723794e-05  
0 -0.00046 0   2.883993537160139e-08   1.70001562098888e-05  
0 -0.00044 0   3.063992793265914e-08   1.700015198842093e-05  
0 -0.00042 0   3.235992059631785e-08   1.700014786554003e-05  
0 -0.0004000000000000001 0   3.399991339093855e-08   1.700014385338706e-05  
0 -0.00038 0   3.555990634419985e-08   1.700013996353832e-05  
0 -0.00036 0   3.703989948300168e-08   1.700013620700541e-05  
0 -0.00034 0   3.843989283339057e-08   1.70001325942352e-05  
0 -0.00032 0   3.975988642045872e-08   1.700012913510989e-05  
0 -0.0003 0   4.099988026829572e-08   1.700012583894698e-05  
0 -0.0002800000000000001 0   4.215987439987358e-08   1.700012271449925e-05  
0 -0.00026 0   4.323986883702652e-08   1.700011976995481e-05  
0 -0.00024 0   4.423986360034992e-08   1.700011701293706e-05  
0 -0.0002199999999999999 0   4.515985870915528e-08   1.70001144505047e-05  
0 -0.0002 0   4.599985418141418e-08   1.700011208915175e-05  
0 -0.00018 0   4.675985003370242e-08   1.700010993480751e-05  
0 -0.00016 0   4.74398462811642e-08   1.70001079928366e-05  
0 -0.00014 0   4.803984293745622e-08   1.700010626803892e-05  
0 -0.00012 0   4.85598400147181e-08   1.700010476464971e-05  
0 -9.999999999999994e-05 0   4.899983752354285e-08   1.70001034863395e-05  
0 -7.999999999999999e-05 0   4.935983547294115e-08   1.70001024362141e-05  
0 -6.000000000000005e-05 0   4.963983387030558e-08   1.700010161681466e-05  
0 -4e-05 0   4.983983272142926e-08   1.70001010301176e-05  
0 -2.000000000000005e-05 0   4.995983203044217e-08   1.700010067753467e-05  
0 0 0   4.99998317998375e-08   1.700010055991291e-05  
