0 -0.001 0   -2.041000105721513e-08   2.290009335275842e-08  
0 -0.00098 0   -1.658615407363996e-08   2.271903684230278e-08  
0 -0.00096 0   -1.311503563592956e-08   2.221813339478484e-08  
0 -0.00094 0   -9.99308064333229e-09   2.145654492840906e-08  
0 -0.00092 0   -7.211924814552109e-09   2.048780399046162e-08  
0 -0.0009 0   -4.759326000418407e-09   1.93599092752728e-08  
0 -0.00088 0   -2.619993195298273e-09   1.811549184636226e-08  
0 -0.00086 0   -7.763256158758655e-10   1.679203761678466e-08  
0 -0.00084 0   7.909347580701606e-10   1.542215317715175e-08  
0 -0.00082 0   2.102132987594052e-09   1.403386354271481e-08  
0 -0.0008 0   3.1782085328638e-09   1.265093180464049e-08  
0 -0.00078 0   4.040274955426115e-09   1.129319200515879e-08  
0 -0.00076 0   4.709266487841558e-09   9.976887803723073e-09  
0 -0.00074 0   5.205645859843301e-09   8.715010656544358e-09  
0 -0.0007199999999999999 0   5.549167747756754e-09   7.517632292057119e-09  
0 -0.0007000000000000001 0   5.758692284766181e-09   6.392227229245088e-09  
0 -0.00068 0   5.852043216825734e-09   5.343981955183996e-09  
0 -0.00066 0   5.845905497330714e-09   4.376088154896433e-09  
0 -0.0006400000000000001 0   5.755757369443023e-09   3.490018074017744e-09  
0 -0.00062 0   5.595832276107741e-09   2.685780697059897e-09  
0 -0.0006000000000000001 0   5.379106253694471e-09   1.962157946098706e-09  
0 -0.00058 0   5.117306796635249e-09   1.316920551822804e-09  
0 -0.00056 0   4.820939519506747e-09   7.470236266924698e-10  
0 -0.00054 0   4.499329283025877e-09   2.487822842363861e-10  
0 -0.0005200000000000001 0   4.160672785814629e-09   -1.819720949221972e-10  
0 -0.0005 0   3.812099949972285e-09   -5.497541451259793e-10  
0 -0.00048 0   3.459741741812705e-09   -8.593043824232452e-10  
0 -0.00046 0   3.108802366736619e-09   -1.115485575334278e-09  
0 -0.00044 0   2.763634056988446e-09   -1.323194457598895e-09  
0 -0.00042 0   2.427812931499658e-09   -1.487287570491484e-09  
0 -0.0004000000000000001 0   2.104214647196604e-09   -1.612519998449239e-09  
0 -0.00038 0   1.795088780569076e-09   -1.703495760294306e-09  
0 -0.00036 0   1.502131076869101e-09   -1.764628635445205e-09  
0 -0.00034 0   1.226552882279007e-09   -1.800112236768397e-09  
0 -0.00032 0   9.691472322626857e-10   -1.813898186033567e-09  
0 -0.0003 0   7.303512078171905e-10   -1.809681301567666e-09  
0 -0.0002800000000000001 0   5.103042913619567e-10   -1.790890768249284e-09  
0 -0.00026 0   3.089025565527318e-10   -1.760686325361072e-09  
0 -0.00024 0   1.258486124857451e-10   -1.721958576240383e-09  
0 -0.0002199999999999999 0   -3.930270627985662e-11   -1.677332593636274e-09  
0 -0.0002 0   -1.871028555226782e-10   -1.629174064956822e-09  
0 -0.00018 0   -3.181722105337336e-10   -1.579597291179095e-09  
0 -0.00016 0   -4.331666837839814e-10   -1.530474421321913e-09  
0 -0.00014 0   -5.32748184272451e-10   -1.483445370477062e-09  
0 -0.00012 0   -6.175587591883712e-10   -1.439927933067841e-09  
0 -9.999999999999994e-05 0   -6.88198254260491e-10   -1.401127664026706e-09  
0 -7.999999999999999e-05 0   -7.452053321627491e-10   -1.368047158871827e-09  
0 -6.000000000000005e-05 0   -7.890416976064234e-10   -1.341494419256373e-09  
0 -4e-05 0   -8.200793923298416e-10   -1.322090043613544e-09  
0 -2.000000000000005e-05 0   -8.385910421961943e-10   -1.310273033265724e-09  
0 0 0   -8.447429611660595e-10   -1.306305053125232e-09  
0 2.000000000000005e-05 0   -8.385910421961943e-10   -1.310273033265724e-09  
0 4.00000000000001e-05 0   -8.200793923298416e-10   -1.322090043613544e-09  
0 6.000000000000016e-05 0   -7.890416976064233e-10   -1.341494419256373e-09  
0 7.999999999999999e-05 0   -7.452053321627491e-10   -1.368047158871827e-09  
0 0.0001 0   -6.881982542604907e-10   -1.401127664026707e-09  
0 0.0001200000000000001 0   -6.175587591883707e-10   -1.439927933067841e-09  
0 0.0001399999999999999 0   -5.327481842724516e-10   -1.483445370477062e-09  
0 0.00016 0   -4.331666837839814e-10   -1.530474421321913e-09  
0 0.00018 0   -3.181722105337336e-10   -1.579597291179095e-09  
0 0.0001999999999999999 0   -1.87102855522679e-10   -1.629174064956822e-09  
0 0.0002199999999999999 0   -3.930270627985662e-11   -1.677332593636274e-09  
0 0.00024 0   1.258486124857455e-10   -1.721958576240383e-09  
0 0.00026 0   3.089025565527318e-10   -1.760686325361072e-09  
0 0.0002800000000000001 0   5.103042913619567e-10   -1.790890768249284e-09  
0 0.0003000000000000001 0   7.303512078171927e-10   -1.809681301567667e-09  
0 0.00032 0   9.691472322626857e-10   -1.813898186033567e-09  
0 0.00034 0   1.226552882279007e-09   -1.800112236768397e-09  
0 0.0003600000000000001 0   1.502131076869103e-09   -1.764628635445204e-09  
0 0.0003799999999999999 0   1.795088780569074e-09   -1.703495760294307e-09  
0 0.0004 0   2.104214647196604e-09   -1.61251999844924e-09  
0 0.00042 0   2.427812931499658e-09   -1.487287570491484e-09  
0 0.0004399999999999999 0   2.763634056988444e-09   -1.323194457598895e-09  
0 0.0004599999999999999 0   3.108802366736614e-09   -1.115485575334279e-09  
0 0.00048 0   3.459741741812705e-09   -8.593043824232452e-10  
0 0.0005 0   3.812099949972285e-09   -5.497541451259793e-10  
0 0.0005200000000000001 0   4.160672785814629e-09   -1.819720949221972e-10  
0 0.0005400000000000001 0   4.49932928302588e-09   2.487822842363897e-10  
0 0.0005600000000000002 0   4.820939519506751e-09   7.47023626692476e-10  
0 0.00058 0   5.117306796635249e-09   1.316920551822804e-09  
0 0.0006000000000000001 0   5.379106253694471e-09   1.962157946098706e-09  
0 0.0006200000000000001 0   5.595832276107741e-09   2.685780697059896e-09  
0 0.0006399999999999999 0   5.755757369443019e-09   3.490018074017737e-09  
0 0.00066 0   5.845905497330714e-09   4.376088154896437e-09  
0 0.00068 0   5.852043216825734e-09   5.343981955183986e-09  
0 0.0006999999999999999 0   5.758692284766183e-09   6.392227229245079e-09  
0 0.0007199999999999999 0   5.549167747756754e-09   7.517632292057119e-09  
